Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Tot_Cases,Deaths,Total_Tests,Tests,population ,Median_Age,population_density,world_economy_GDP ,hospital_beds
Morocco,"5,053",179,"1,653","3,221",137,5,"45,302","1,227",36.91,30,83,103.61,11.26
Argentina,"4,783",249,"1,442","3,092",106,6,"67,920","1,503",45.2,32,17,545.87,50
Algeria,"4,648",465,"1,998","2,185",106,11,"6,500",148,43.85,29,18,159.05,19
Moldova,"4,248",132,"1,423","2,693","1,053",33,"20,447","5,069",4.03,38,123,6.77,66.7
Kazakhstan,"4,049",29,"1,173","2,847",216,2,"306,861","16,343",18.78,31,7,135.01,76.99
Luxembourg,"3,828",96,"3,405",327,"6,115",153,"48,339","77,222",0.63,40,242,58.63,63.94
Bahrain,"3,533",8,"1,744","1,781","2,076",5,"149,586","87,910",1.7,32,"2,239",32.18,28.6
Hungary,"3,035",351,630,"2,054",314,36,"83,958","8,691",9.66,43,107,125.82,79.77
Thailand,"2,987",54,"2,740",193,43,0.8,"227,860","3,264",69.8,40,137,407.03,21
Afghanistan,"2,894",90,397,"2,407",74,2,"11,068",284,38.93,18,60,20.24,5
Ghana,"2,719",18,294,"2,407",88,0.6,"129,461","4,166",31.07,32,137,42.79,9
Oman,"2,637",12,816,"1,809",516,2,"40,459","7,923",5.11,31,16,63.17,22
Greece,"2,632",146,"1,374","1,112",253,14,"80,951","7,767",10.42,46,81,193.69,48.49
Nigeria,"2,558",87,400,"2,071",12,0.4,"18,536",90,206.14,18,226,404.65,5
Armenia,"2,507",39,"1,071","1,397",846,13,"24,942","8,417",2.96,35,104,10.57,64.44
Iraq,"2,346",98,"1,544",704,58,2,"107,586","2,675",83.99,21,93,160.02,13.8
Uzbekistan,"2,189",10,"1,405",774,65,0.3,"325,000","9,710",33.47,28,79,67.78,54.79
Croatia,"2,101",80,"1,522",499,512,19,"39,040","9,510",4.11,44,73,51.23,61.52
Cameroon,"2,077",64,953,"1,060",78,2,,,26.55,19,56,32.22,15
Azerbaijan,"1,984",26,"1,480",478,196,3,"157,932","15,576",10.14,32,123,37.85,86.85
Bosnia and Herzegovina,"1,926",78,855,993,587,24,"34,378","10,478",3.28,43,64,16.91,35.04
Iceland,"1,799",10,"1,723",66,"5,272",29,"50,477","147,921",0.34,37,3,20.27,41.59
Guinea,"1,710",9,450,"1,251",130,0.7,,,13.13,18,53,8.48,3
Estonia,"1,703",55,259,"1,389","1,284",41,"55,784","42,052",1.33,42,31,23.34,70.35
Cuba,"1,668",69,876,723,147,6,"55,542","4,904",11.33,42,106,89.69,59
Bulgaria,"1,652",78,321,"1,253",238,11,"49,145","7,073",6.95,45,64,53.24,74.11
Bolivia,"1,594",76,166,"1,352",137,7,"7,651",655,11.67,26,11,33.81,11
North Macedonia,"1,518",85,992,441,729,41,"17,359","8,332",2.08,39,83,10.75,50.57
New Zealand,"1,487",20,"1,276",191,308,4,"152,696","31,665",4.82,38,18,187.52,28
Slovenia,"1,439",97,241,"1,101",692,47,"57,504","27,660",2.08,45,103,44.71,53.99
Ivory Coast,"1,432",17,693,722,54,0.6,"10,778",409,26.38,19,83,36.77,4
Lithuania,"1,419",46,638,735,521,17,"144,029","52,907",2.72,45,43,42.77,88.33
Slovakia,"1,413",25,643,745,259,5,"97,804","17,914",5.46,41,114,89.77,78.39
Senegal,"1,271",10,415,846,76,0.6,"17,787","1,062",16.74,19,87,14.6,3
Djibouti,"1,116",2,713,401,"1,130",2,"14,222","14,395",0.99,27,43,1.89,17.5
Honduras,"1,055",82,118,855,107,8,"4,810",486,9.9,24,89,21.52,8
Hong Kong,"1,041",4,900,137,139,0.5,"154,989","20,674",7.5,45,"7,140",320.91,0
Tunisia,"1,018",43,406,569,86,4,"24,853","2,103",11.82,33,76,41.7,22.9
Latvia,896,16,348,532,475,8,"65,464","34,707",1.87,44,30,27.57,87.74
Cyprus,874,15,296,563,724,12,"65,725","54,437",1.21,37,131,20.05,45.36
Kyrgyzstan,830,10,575,245,127,2,"56,488","8,658",6.52,26,34,6.55,70.41
Albania,803,31,543,229,279,11,"9,006","3,129",2.88,36,105,11.86,32.63
Somalia,756,35,61,660,48,2,,,15.89,17,25,1.32,8.7
Niger,755,37,534,184,31,2,"5,309",219,24.21,15,19,7.53,3
Sri Lanka,751,8,194,549,35,0.4,"26,842","1,254",21.41,34,341,81.32,35.1
Andorra,750,45,499,206,"9,707",582,"1,673","21,653",0.77,0,164,2.86,0
Costa Rica,742,6,399,337,146,1,"13,988","2,746",5.09,33,100,57.44,12
Lebanon,740,25,200,515,108,4,"41,014","6,009",6.83,30,667,50.46,36
Guatemala,703,17,72,614,39,0.9,"7,200",402,17.92,23,167,68.76,6
Mayotte,686,6,352,328,"2,515",22,"3,400","12,463",0.27,20,728,0,0
DRC,682,34,80,568,8,0.4,,,89.56,17,40,40.34,8
Sudan,678,41,61,576,15,0.9,,,43.85,20,25,6.53,8.4
Burkina Faso,672,46,545,81,32,2,,,20.9,18,76,11.7,9
Uruguay,655,17,442,196,189,5,"21,939","6,316",3.47,36,20,52.42,30
Georgia,593,9,223,361,149,2,"15,904","3,987",3.99,38,57,14.33,48.08
San Marino,582,41,86,455,"17,152","1,208","2,457","72,412",0.03,0,566,1.49,0
Mali,580,29,223,328,29,1,"2,172",107,20.25,16,17,14,6
El Salvador,555,13,180,362,86,2,"30,387","4,685",6.47,28,313,26.8,13
Channel Islands,544,41,406,97,"3,129",236,"5,342","30,725",0.17,43,915,0,0
Maldives,541,1,18,522,"1,001",2,"8,327","15,405",0.54,30,1802,4.22,43
Kenya,490,24,173,293,9,0.4,"24,784",461,53.77,20,94,70.53,14
Tanzania,480,16,167,297,8,0.3,,,59.73,18,67,0,11
Malta,480,4,399,77,"1,087",9,"36,204","81,994",0.44,43,1380,11,78.47
Jamaica,469,9,38,422,158,3,"5,633","1,902",2.96,31,273,14.06,18
Jordan,465,9,370,86,46,0.9,"87,618","8,587",10.2,24,115,38.65,19
Taiwan,438,6,334,98,18,0.3,"64,436","2,705",23.82,42,673,0,0
Réunion,424,,300,124,474,,,,0.9,36,358,0,0
Guinea-Bissau,413,1,19,393,210,0.5,"1,500",762,1.97,18,53,8.48,10
Paraguay,396,10,126,260,56,1,"10,766","1,509",7.13,26,18,27.17,13
